OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-AK,USGS Alaska Water Science Center,CAX01-15015590,UNUK R NR STEWART BC,Stream,,,573,sq mi,,,56.35105468000000,-130.6933749000000,250000,5,seconds,Interpolated from MAP.,NAD83,,,,,,,CA,96,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15024098,SPATSIZI R NR MOUTH AB STIKINE R BC,Stream,,,1350,sq mi,,,57.67009930000000,-128.1050485000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,96,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15024100,STIKINE R BL SPATSIZI RIVER BC,Stream,,,2940,sq mi,,,57.73287786000000,-128.1100504000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,96,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15024120,PITMAN R 3.5 MI AB MOUTH NEAR DEASE LAKE BC,Stream,,,1010,sq mi,,,57.98175860000000,-128.4311723000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,96,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15024200,KLAPPAN R NR TELEGRAPH C BC,Stream,,,1370,sq mi,,,57.89976010000000,-129.7056166000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,96,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15024300,STIKINE R AB GRAND CANYON NR TELEGRAPH C BC,Stream,,,7190,sq mi,,,58.04364330000000,-129.9475631000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,96,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15024400,TANZILLA R NR TELEGRAPH C BC,Stream,,,618,sq mi,,,58.29335310000000,-130.5139534000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,96,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15024500,TUYA R NR TELEGRAPH C BC,Stream,,,1370,sq mi,,,58.07194738000000,-130.8258869000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,96,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15024600,STIKINE R AT TELEGRAPH C BC,Stream,,,11190,sq mi,,,57.90054450000000,-131.1561553000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,96,000,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,CAX01-15024640,STIKINE R AB BUTTERFLY CREEK BC,Stream,,,14040,sq mi,,,57.48580180000000,-131.7516974000000,250000,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,CA,96,000,,,,,,,,,,NWIS
